area,venue,year,publication_status,expected_count,collected_count,retrieval_date,official_source_url,metadata_source_urls,reconciliation,unresolved_metadata
Software Engineering,ASE,2025,accepted-program,246,246,2026-07-31,https://conf.researchr.org/track/ase-2025/ase-2025-papers,https://conf.researchr.org/track/ase-2025/ase-2025-papers,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,ASE,2026,pending,,0,2026-07-31,https://conf.researchr.org/series/ase,,no complete public archival program available by cutoff,The archival research program was not public by the cutoff.
Software Engineering,ISSTA,2024,proceedings,170,170,2026-07-31,https://conf.researchr.org/series/issta,https://dblp.org/db/conf/issta/issta2024.xml,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,ISSTA,2025,proceedings,110,110,2026-07-31,https://conf.researchr.org/series/issta,https://dblp.org/db/journals/pacmse/pacmse2.xml,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,ISSTA,2026,accepted-program,210,210,2026-07-31,https://conf.researchr.org/track/issta-2026/issta-2026-research-papers,https://conf.researchr.org/track/issta-2026/issta-2026-research-papers,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,POPL/PACMPL,2024,proceedings,93,93,2026-07-31,https://poplconf.org/,https://dblp.org/db/journals/pacmpl/pacmpl8.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,POPL/PACMPL,2025,proceedings,79,79,2026-07-31,https://poplconf.org/,https://dblp.org/db/journals/pacmpl/pacmpl9.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,POPL/PACMPL,2026,proceedings,92,92,2026-07-31,https://poplconf.org/,https://dblp.org/db/journals/pacmpl/pacmpl10.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,PLDI/PACMPL,2024,proceedings,89,89,2026-07-31,https://pldi.sigplan.org/,https://dblp.org/db/journals/pacmpl/pacmpl8.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,PLDI/PACMPL,2025,proceedings,88,88,2026-07-31,https://pldi.sigplan.org/,https://dblp.org/db/journals/pacmpl/pacmpl9.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,PLDI/PACMPL,2026,accepted-program,106,106,2026-07-31,https://pldi26.sigplan.org/track/pldi-2026-papers,https://pldi26.sigplan.org/track/pldi-2026-papers,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,OOPSLA/PACMPL,2024,proceedings,148,148,2026-07-31,https://2026.splashcon.org/track/splash-2026-oopsla,https://dblp.org/db/journals/pacmpl/pacmpl8.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,OOPSLA/PACMPL,2025,proceedings,216,216,2026-07-31,https://2026.splashcon.org/track/splash-2026-oopsla,https://dblp.org/db/journals/pacmpl/pacmpl9.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,OOPSLA/PACMPL,2026,pending,,0,2026-07-31,https://2026.splashcon.org/track/splash-2026-oopsla,,no complete public archival program available by cutoff,No complete public archival issue/program located by the cutoff.
Programming Languages,ICFP/PACMPL,2024,proceedings,35,35,2026-07-31,https://icfpconference.org/,https://dblp.org/db/journals/pacmpl/pacmpl8.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,ICFP/PACMPL,2025,proceedings,36,36,2026-07-31,https://icfpconference.org/,https://dblp.org/db/journals/pacmpl/pacmpl9.xml,normalized metadata count reconciled; independent official count unavailable,
Programming Languages,ICFP/PACMPL,2026,accepted-program,29,29,2026-07-31,https://conf.researchr.org/track/icfp-2026/icfp-2026-icfp-papers,https://conf.researchr.org/track/icfp-2026/icfp-2026-icfp-papers,normalized metadata count reconciled; independent official count unavailable,
Artificial Intelligence,NeurIPS,2024,proceedings,4494,4494,2026-07-31,https://proceedings.neurips.cc/,https://dblp.org/db/conf/nips/neurips2024.xml,normalized metadata count reconciled; independent official count unavailable,
Artificial Intelligence,NeurIPS,2025,proceedings,4572,4572,2026-07-31,https://proceedings.neurips.cc/,https://dblp.org/db/conf/nips/neurips2025.xml,normalized metadata count reconciled; independent official count unavailable,
Artificial Intelligence,NeurIPS,2026,pending,,0,2026-07-31,https://proceedings.neurips.cc/,,no complete public archival program available by cutoff,Reviews were in progress at the cutoff; no accepted-paper program.
Artificial Intelligence,ICML,2024,proceedings,2610,2610,2026-07-31,https://icml.cc/,https://proceedings.mlr.press/v235/,normalized metadata count reconciled; independent official count unavailable,
Artificial Intelligence,ICML,2025,proceedings,3330,3330,2026-07-31,https://icml.cc/,https://proceedings.mlr.press/v267/,normalized metadata count reconciled; independent official count unavailable,
Artificial Intelligence,ICML,2026,accepted-program,6415,6415,2026-07-31,https://icml.cc/virtual/2026/papers.html,https://icml.cc/virtual/2026/papers.html,normalized metadata count reconciled; independent official count unavailable,6252 program records retain author-normalization sentinel
Artificial Intelligence,ICLR,2024,accepted-program,2260,2260,2026-07-31,https://iclr.cc/virtual/2024/papers.html,https://iclr.cc/static/virtual/data/iclr-2024-orals-posters.json,official and normalized counts agree,
Artificial Intelligence,ICLR,2025,count-discrepancy,3704,3708,2026-07-31,https://iclr.cc/virtual/2025/papers.html,https://iclr.cc/static/virtual/data/iclr-2025-orals-posters.json,expected 3704 from official count; normalized source yielded 3708,
Artificial Intelligence,ICLR,2026,count-discrepancy,5357,5353,2026-07-31,https://iclr.cc/virtual/2026/papers.html,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,expected 5357 from official count; normalized source yielded 5353,"Official fact sheet reports 5,357; title deduplication may expose feed discrepancies."
Artificial Intelligence,AAAI,2024,proceedings,2500,2500,2026-07-31,https://aaai.org/conference/aaai/,https://dblp.org/db/conf/aaai/aaai2024.xml,normalized metadata count reconciled; independent official count unavailable,
Artificial Intelligence,AAAI,2025,proceedings,3192,3192,2026-07-31,https://aaai.org/conference/aaai/,https://dblp.org/db/conf/aaai/aaai2025.xml,normalized metadata count reconciled; independent official count unavailable,
Artificial Intelligence,AAAI,2026,proceedings,4431,4431,2026-07-31,https://aaai.org/conference/aaai/,https://dblp.org/db/conf/aaai/aaai2026.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,OSDI,2024,proceedings,53,53,2026-07-31,https://www.usenix.org/conferences/byname/179,https://dblp.org/db/conf/osdi/osdi2024.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,OSDI,2025,proceedings,53,53,2026-07-31,https://www.usenix.org/conferences/byname/179,https://dblp.org/db/conf/osdi/osdi2025.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,OSDI,2026,proceedings,137,137,2026-07-31,https://www.usenix.org/conference/osdi26/technical-sessions,https://www.usenix.org/conference/osdi26/technical-sessions,normalized metadata count reconciled; independent official count unavailable,
Systems,SOSP,2024,proceedings,43,43,2026-07-31,https://sigops.org/s/conferences/sosp/,https://dblp.org/db/conf/sosp/sosp2024.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,SOSP,2025,proceedings,66,66,2026-07-31,https://sigops.org/s/conferences/sosp/,https://dblp.org/db/conf/sosp/sosp2025.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,SOSP,2026,pending,,0,2026-07-31,https://sigops.org/s/conferences/sosp/,,no complete public archival program available by cutoff,No complete accepted-paper program located by the cutoff.
Systems,EuroSys,2024,proceedings,71,71,2026-07-31,https://www.eurosys.org/,https://dblp.org/db/conf/eurosys/eurosys2024.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,EuroSys,2025,proceedings,85,85,2026-07-31,https://www.eurosys.org/,https://dblp.org/db/conf/eurosys/eurosys2025.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,EuroSys,2026,accepted-program,136,136,2026-07-31,https://2026.eurosys.org/papers.html,https://2026.eurosys.org/papers.html,normalized metadata count reconciled; independent official count unavailable,Official page combines both submission periods; earlier first-period reports list 59 papers.
Systems,USENIX ATC,2024,proceedings,77,77,2026-07-31,https://www.usenix.org/conferences/byname/131,https://dblp.org/db/conf/usenix/usenix2024.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,USENIX ATC,2025,proceedings,100,100,2026-07-31,https://www.usenix.org/conferences/byname/131,https://dblp.org/db/conf/usenix/usenix2025.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,USENIX ATC,2026,pending,,0,2026-07-31,https://www.usenix.org/conferences/byname/131,,no complete public archival program available by cutoff,No public archival program by the cutoff; venue transition remains unresolved.
Systems,FAST,2024,proceedings,22,22,2026-07-31,https://www.usenix.org/conferences/byname/178,https://dblp.org/db/conf/fast/fast2024.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,FAST,2025,proceedings,36,36,2026-07-31,https://www.usenix.org/conferences/byname/178,https://dblp.org/db/conf/fast/fast2025.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,FAST,2026,proceedings,44,44,2026-07-31,https://www.usenix.org/conferences/byname/178,https://dblp.org/db/conf/fast/fast2026.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,ASPLOS,2024,proceedings,198,198,2026-07-31,https://www.asplos-conference.org/,https://dblp.org/db/conf/asplos/asplos2024-1.xml | https://dblp.org/db/conf/asplos/asplos2024-2.xml | https://dblp.org/db/conf/asplos/asplos2024-3.xml | https://dblp.org/db/conf/asplos/asplos2024-4.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,ASPLOS,2025,proceedings,179,179,2026-07-31,https://www.asplos-conference.org/,https://dblp.org/db/conf/asplos/asplos2025-1.xml | https://dblp.org/db/conf/asplos/asplos2025-2.xml | https://dblp.org/db/conf/asplos/asplos2025-3.xml,normalized metadata count reconciled; independent official count unavailable,
Systems,ASPLOS,2026,proceedings,152,152,2026-07-31,https://www.asplos-conference.org/,https://dblp.org/db/conf/asplos/asplos2026-1.xml | https://dblp.org/db/conf/asplos/asplos2026-2.xml,normalized metadata count reconciled; independent official count unavailable,
