citation_key,arxiv_id,title,year,categories,published,decision,reason,pass2_evidence,dossiers,formal_supersession,review_status,url
Sriram2026ImprovingLlmAssisted,2601.00509,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Generation and Multi-Tool Feedback,2026,cs.CR;cs.LG,2026-01-01T23:34:00Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-security;llm-software,no,adjudicated,https://arxiv.org/abs/2601.00509
Quantrill2026CrackingIotSecurity,2601.00559,Cracking IoT Security: Can LLMs Outsmart Static Analysis Tools?,2026,cs.CR;cs.AI,2026-01-02T04:17:36Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.00559
Dong2026LowRankComes,2601.00566,Low Rank Comes with Low Security: Gradient Assembly Poisoning Attacks against Distributed LoRA-based LLM Systems,2026,cs.CR,2026-01-02T04:42:56Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.00566
Aiersilan2026VibeCheckProtocol,2601.02410,The Vibe-Check Protocol: Quantifying Cognitive Offloading in AI Programming,2026,cs.SE;cs.AI;cs.CY;cs.GR,2026-01-02T06:13:41Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02410
Gonzalez2026SemodsValidatedDataset,2601.00635,SEMODS: A Validated Dataset of Open-Source Software Engineering Models,2026,cs.SE,2026-01-02T10:38:24Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.00635
Gopinadh2026EmojiBasedJailbreaking,2601.00936,Emoji-Based Jailbreaking of Large Language Models,2026,cs.CR;cs.AI,2026-01-02T10:49:06Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.00936
Tantithamthavorn2026RovodevCodeReviewer,2601.01129,RovoDev Code Reviewer: A Large-Scale Online Evaluation of LLM-based Code Review Automation at Atlassian,2026,cs.SE;cs.AI;cs.CL;cs.LG,2026-01-03T09:27:56Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.01129
A2026ComparativeEvaluationVae,2601.01183,"Comparative Evaluation of VAE, GAN, and SMOTE for Tor Detection in Encrypted Network Traffic",2026,cs.CR,2026-01-03T13:31:53Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.01183
Sijwali2026SecurecoderlSecurityAware,2601.01184,SecureCodeRL: Security-Aware Reinforcement Learning for Code Generation with Partial-Credit Rewards,2026,cs.CR,2026-01-03T13:36:36Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-security;llm-software,no,adjudicated,https://arxiv.org/abs/2601.01184
Rajput2026CorrectnessIsntEfficiency,2601.01215,Correctness isnt Efficiency: Runtime Memory Divergence in LLM-Generated Code,2026,cs.SE;cs.AI,2026-01-03T15:42:21Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.01215
Zhu2026AtomizerLlmBasedb4e5d92,2601.01233,Atomizer: An LLM-based Collaborative Multi-Agent Framework for Intent-Driven Commit Untangling,2026,cs.SE,2026-01-03T16:43:05Z,exclude,a formal-ledger venue version supersedes this preprint identity/title,formal-supersession,,yes,adjudicated,https://arxiv.org/abs/2601.01233
Zhu2026IoRaeInformation7ed4578,2601.01239,IO-RAE: Information-Obfuscation Reversible Adversarial Example for Audio Privacy Protection,2026,cs.SD;cs.CR;cs.MM;eess.AS,2026-01-03T17:08:35Z,exclude,a formal-ledger venue version supersedes this preprint identity/title,formal-supersession,,yes,adjudicated,https://arxiv.org/abs/2601.01239
Tan2026McpSandboxscanWasm,2601.01241,MCP-SandboxScan: WASM-based Secure Execution and Runtime Analysis for MCP Tools,2026,cs.CR;cs.SE,2026-01-03T17:25:38Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-security;software-for-llm,no,adjudicated,https://arxiv.org/abs/2601.01241
Tao2026CatchallRepositoryAware,2601.01271,CatchAll: Repository-Aware Exception Handling with Knowledge-Guided LLMs,2026,cs.SE,2026-01-03T20:03:03Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.01271
Brown2026AggressiveCompressionEnables,2601.01296,Aggressive Compression Enables LLM Weight Theft,2026,cs.CR;cs.AI;cs.LG,2026-01-03T22:34:53Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.01296
Adnan2026AdaptiveHierarchicalEvaluation,2601.01320,Adaptive Hierarchical Evaluation of LLMs and SAST tools for CWE Prediction in Python,2026,cs.SE;cs.AI,2026-01-04T01:13:37Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.01320
Oh2026AutomatedPostIncident,2601.03287,Automated Post-Incident Policy Gap Analysis via Threat-Informed Evidence Mapping using Large Language Models,2026,cs.CR;cs.AI,2026-01-04T01:39:20Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.03287
Liu2026HowRealIs,2601.03288,How Real is Your Jailbreak? Fine-grained Jailbreak Evaluation with Anchored Reference,2026,cs.CR;cs.CL,2026-01-04T07:54:24Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03288
Ran2026CaveagentTransformingLlms,2601.01569,CaveAgent: Transforming LLMs into Stateful Runtime Operators,2026,cs.AI;cs.SE,2026-01-04T15:32:47Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.01569
Wang2026OpenrtOpenSource,2601.01592,OpenRT: An Open-Source Red Teaming Framework for Multimodal LLMs,2026,cs.CR;cs.CV,2026-01-04T16:41:33Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.01592
Kharlamova2026ExposingHiddenInterfaces,2601.01673,Exposing Hidden Interfaces: LLM-Guided Type Inference for Reverse Engineering macOS Private Frameworks,2026,cs.CR;cs.AI,2026-01-04T21:44:55Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.01673
Lu2026NewBenchmarkAppropriate,2601.01765,A New Benchmark for the Appropriate Evaluation of RTL Code Optimization,2026,cs.AI;cs.SE,2026-01-05T03:47:26Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.01765
Khosravani2026LiaSupervisedFine,2601.01780,LIA: Supervised Fine-Tuning of Large Language Models for Automatic Issue Assignment,2026,cs.SE;cs.AI,2026-01-05T04:26:46Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.01780
Jeon2026UnpiiUnlearningPersonally,2601.01786,UnPII: Unlearning Personally Identifiable Information with Quantifiable Exposure Risk,2026,cs.LG;cs.CR,2026-01-05T04:45:04Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.01786
Liu2026WebcoderbenchBenchmarkingWeb,2601.02430,WebCoderBench: Benchmarking Web Application Generation with Comprehensive and Interpretable Evaluation Metrics,2026,cs.SE;cs.AI,2026-01-05T05:23:07Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.02430
Unterbusch2026ContextAdaptiveRequirements,2601.01952,Context-Adaptive Requirements Defect Prediction through Human-LLM Collaboration,2026,cs.SE,2026-01-05T10:00:14Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.01952
Korn2026ReportingLlmPrompting,2601.01954,Reporting LLM Prompting in Automated Software Engineering: A Guideline Based on Current Practices and Expectations,2026,cs.SE,2026-01-05T10:01:20Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.01954
Zhang2026NewCompilerStack,2601.02045,The New Compiler Stack: A Survey on the Synergy of LLMs and Compilers,2026,cs.PL;cs.AI;cs.SE,2026-01-05T12:02:57Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.02045
Lang2026PerishOrFlourish,2601.02060,Perish or Flourish? A Holistic Evaluation of Large Language Models for Code Generation in Functional Programming,2026,cs.PL;cs.AI;cs.SE,2026-01-05T12:33:37Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02060
Borg2026CodeMachinesNot,2601.02200,"Code for Machines, Not Just Humans: Quantifying AI-Friendliness with Code Health Metrics",2026,cs.SE;cs.AI,2026-01-05T15:23:55Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02200
Petrovic2026LlmEmpoweredFunctional,2601.02215,LLM-Empowered Functional Safety and Security by Design in Automotive Systems,2026,cs.SE;cs.AI,2026-01-05T15:37:08Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.02215
Huang2026AgentmarkUtilityPreserving,2601.03294,AgentMark: Utility-Preserving Behavioral Watermarking for Agents,2026,cs.CR;cs.AI,2026-01-05T15:42:18Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.03294
Artser2026EnhancingDebuggingSkills,2601.02504,Enhancing Debugging Skills with AI-Powered Assistance: A Real-Time Tool for Debugging Support,2026,cs.SE;cs.AI;cs.CY,2026-01-05T19:20:59Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.02504
Kuran2026GreenLlmTechniques,2601.02512,Green LLM Techniques in Action: How Effective Are Existing Techniques for Improving the Energy Efficiency of LLM-Based Applications in Industry?,2026,cs.SE,2026-01-05T19:35:29Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.02512
Olson2026PerspectivecoachExploringLlms,2601.02559,PerspectiveCoach: Exploring LLMs for Developer Reflection,2026,cs.SE;cs.HC,2026-01-05T21:21:55Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02559
Siniaev2026CompressedCodeHidden,2601.02563,Compressed code: the hidden effects of quantization and distillation on programming tokens,2026,cs.SE;cs.CL;cs.LG;cs.PL,2026-01-05T21:32:47Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02563
Siavash2026StateQuantumSoftware,2601.02601,State of the Quantum Software Engineering Ecosystem,2026,cs.SE,2026-01-05T23:34:51Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02601
Javidnia2026SwarlSafeguardCode,2601.02602,SWaRL: Safeguard Code Watermarking via Reinforcement Learning,2026,cs.CR;cs.LG,2026-01-05T23:35:39Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02602
Hasan2026LassetLlmAssisted,2601.02624,LAsset: An LLM-assisted Security Asset Identification Framework for System-on-Chip (SoC) Verification,2026,cs.CR;cs.AI,2026-01-06T00:53:23Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-security;llm-software,no,adjudicated,https://arxiv.org/abs/2601.02624
Ezaz2026TaafTraceAbstractiona633990,2601.02632,TAAF: A Trace Abstraction and Analysis Framework Synergizing Knowledge Graphs and LLMs,2026,cs.SE;cs.AI,2026-01-06T01:04:05Z,exclude,a formal-ledger venue version supersedes this preprint identity/title,formal-supersession,,yes,adjudicated,https://arxiv.org/abs/2601.02632
Thornton2026TrylockDefenseDepth,2601.03300,TRYLOCK: Defense-in-Depth Against LLM Jailbreaks via Layered Preference and Representation Engineering,2026,cs.CR;cs.LG,2026-01-06T03:02:20Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03300
Song2026AdversarialContrastiveLearning,2601.02680,Adversarial Contrastive Learning for LLM Quantization Attacks,2026,cs.CR;cs.LG,2026-01-06T03:26:11Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.02680
Nandal2026LaudeLlmAssisted,2601.08856,LAUDE: LLM-Assisted Unit Test Generation and Debugging of Hardware DEsigns,2026,cs.SE;cs.AI,2026-01-06T04:00:07Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.08856
Zhang2026AgenticMemoryEnhanced,2601.02732,Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization in Microservices,2026,cs.SE;cs.AI,2026-01-06T05:50:14Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.02732
Zhang2026HypothesizeThenVerify,2601.02736,Hypothesize-Then-Verify: Speculative Root Cause Analysis for Microservices with Pathwise Parallelism,2026,cs.SE;cs.AI,2026-01-06T05:58:25Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.02736
Chen2026WindowBasedMembership90ddf7f,2601.02751,Window-based Membership Inference Attacks Against Fine-tuned Large Language Models,2026,cs.CL;cs.AI;cs.CR,2026-01-06T06:37:27Z,exclude,a formal-ledger venue version supersedes this preprint identity/title,formal-supersession,,yes,adjudicated,https://arxiv.org/abs/2601.02751
Wang2026CodememAstGuided,2601.02868,CodeMEM: AST-Guided Adaptive Memory for Repository-Level Iterative Code Generation,2026,cs.SE,2026-01-06T09:57:19Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.02868
Feiglin2026SastbenchBenchmarkTesting,2601.02941,SastBench: A Benchmark for Testing Agentic SAST Triage,2026,cs.CR;cs.AI;cs.CL,2026-01-06T11:36:30Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-security;llm-software;software-for-llm,no,adjudicated,https://arxiv.org/abs/2601.02941
Wang2026JpuBridgingJailbreak,2601.03005,JPU: Bridging Jailbreak Defense and Unlearning via On-Policy Path Rectification,2026,cs.CR;cs.AI,2026-01-06T13:30:10Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03005
Okada2026LlmsYouCan,2601.03013,"LLMs, You Can Evaluate It! Design of Multi-perspective Report Evaluation for Security Operation Centers",2026,cs.CR,2026-01-06T13:37:50Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.03013
Wu2026SlimStealthyLow,2601.03242,SLIM: Stealthy Low-Coverage Black-Box Watermarking via Latent-Space Confusion Zones,2026,cs.CR,2026-01-06T18:37:45Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03242
Zhang2026SphinxBenchmarkingModeling,2601.04252,Sphinx: Benchmarking and Modeling for LLM-Driven Pull Request Review,2026,cs.SE;cs.CL,2026-01-06T18:49:56Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.04252
Qin2026NavaiGeneralizableLlm,2601.03251,NavAI: A Generalizable LLM Framework for Navigation Tasks in Virtual Reality Environments,2026,cs.SE,2026-01-06T18:54:54Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03251
Nurlanov2026JailbreakingLlmsWithout,2601.03420,Jailbreaking LLMs Without Gradients or Priors: Effective and Transferable Attacks,2026,cs.LG;cs.AI;cs.CR,2026-01-06T21:14:13Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03420
Jayanti2026EnhancingModelContext,2601.11595,Enhancing Model Context Protocol (MCP) with Context-Aware Server Collaboration,2026,cs.DC;cs.LG;cs.SE,2026-01-06T21:34:08Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,software-for-llm,no,adjudicated,https://arxiv.org/abs/2601.11595
Brahman2026CodeevalPedagogicalApproach,2601.03432,CodeEval: A pedagogical approach for targeted evaluation of code-trained Large Language Models,2026,cs.SE,2026-01-06T21:42:01Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.03432
Degerli2026RevisitingSoftwareEngineering,2601.08857,Revisiting Software Engineering Education in the Era of Large Language Models: A Curriculum Adaptation and Academic Integrity Framework,2026,cs.SE;cs.AI,2026-01-06T22:41:47Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.08857
Erlemann2026FullStackKnowledge,2601.03504,Full-Stack Knowledge Graph and LLM Framework for Post-Quantum Cyber Readiness,2026,cs.CR,2026-01-07T01:31:15Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-security,no,adjudicated,https://arxiv.org/abs/2601.03504
Agarwal2026Contract2PlanVerifiedContract,2601.06164,Contract2Plan: Verified Contract-Grounded Retrieval-Augmented Optimization for BOM-Aware Procurement and Multi-Echelon Inventory Planning,2026,cs.SE;cs.AI,2026-01-07T01:38:05Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,software-for-llm,no,adjudicated,https://arxiv.org/abs/2601.06164
Bollikonda2026AdaptiveTrustMetrics,2601.08858,Adaptive Trust Metrics for Multi-LLM Systems: Enhancing Reliability in Regulated Industries,2026,cs.SE;cs.AI;cs.CY,2026-01-07T01:50:10Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.08858
Wu2026BootstrappingCodeTranslation,2601.03512,Bootstrapping Code Translation with Weighted Multilanguage Exploration,2026,cs.SE;cs.AI,2026-01-07T01:56:44Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03512
Chen2026JailbreakingLlmsVlms,2601.03594,"Jailbreaking LLMs & VLMs: Mechanisms, Evaluation, and Unified Defense",2026,cs.CR,2026-01-07T05:25:33Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.03594
Fu2026InhibitoryAttacksBackdoor,2601.04261,Inhibitory Attacks on Backdoor-based Fingerprinting for Large Language Models,2026,cs.CR,2026-01-07T06:06:56Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.04261
Haque2026VerbatimDataTranscription,2601.03640,Verbatim Data Transcription Failures in LLM Code Generation: A State-Tracking Stress Test,2026,cs.SE;cs.CR,2026-01-07T06:38:34Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.03640
Zou2026MhrcBenchMultilingual,2601.03708,MHRC-Bench: A Multilingual Hardware Repository-Level Code Completion benchmark,2026,cs.PL;cs.AI,2026-01-07T08:46:10Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.03708
Li2026FromLaboratoryReal,2601.03731,From Laboratory to Real-World Applications: Benchmarking Agentic Code Reasoning at the Repository Level,2026,cs.SE;cs.AI,2026-01-07T09:22:28Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.03731
Xu2026AgenticProofAutomation,2601.03768,Agentic Proof Automation: A Case Study,2026,cs.PL,2026-01-07T10:02:17Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software;software-for-llm,no,adjudicated,https://arxiv.org/abs/2601.03768
Ahasanuzzaman2026AssessingImprovingRepresentativeness,2601.03780,Assessing and Improving the Representativeness of Code Generation Benchmarks Using Knowledge Units (KUs) of Programming Languages -- An Empirical Study,2026,cs.SE,2026-01-07T10:23:33Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.03780
P2026ShadowUnlearningNeuro,2601.04275,Shadow Unlearning: A Neuro-Semantic Approach to Fidelity-Preserving Faceless Forgetting in LLMs,2026,cs.CR;cs.AI;cs.CL,2026-01-07T12:11:25Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.04275
Parziale2026OnceUponTeam,2601.03857,Once Upon a Team: Investigating Bias in LLM-Driven Software Team Composition and Task Allocation,2026,cs.SE,2026-01-07T12:13:22Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.03857
Li2026WhatMattersSafety,2601.03868,What Matters For Safety Alignment?,2026,cs.CL;cs.AI;cs.CR,2026-01-07T12:31:52Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.03868
Xu2026FromDomainsInstances,2601.04278,From Domains to Instances: Dual-Granularity Data Synthesis for LLM Unlearning,2026,cs.CL;cs.AI;cs.CR;cs.LG,2026-01-07T12:41:07Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.04278
Rosa2026UnderstandingSpecificationDriven,2601.03878,Understanding Specification-Driven Code Generation with LLMs: An Empirical Study Design,2026,cs.SE,2026-01-07T12:46:57Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.03878
Wang2026AutovulnphpLlmPowered,2601.06177,AutoVulnPHP: LLM-Powered Two-Stage PHP Vulnerability Detection and Automated Localization,2026,cs.CR;cs.SE,2026-01-07T14:36:59Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.06177
Bodea2026SokPrivacyRisks,2601.03979,SoK: Privacy Risks and Mitigations in Retrieval-Augmented Generation Systems,2026,cs.CR;cs.CL,2026-01-07T14:50:41Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-security,no,adjudicated,https://arxiv.org/abs/2601.03979
