dossier,shelf,primary_research_question,inclusion_boundary,exclusion_boundary,mapped_literature_count,audit_status,replacement_link
llm-software,Academic-Status/Program-Understanding-Binary-Analysis-Decompilation-And-Reverse-Engineering.md,"non-security program understanding for binaries and other compiled representations, including decompilation, symbol and type recovery, recompilable reconstruction, semantic-fidelity improvement, and representation evaluation. A paper belongs here when its primary oracle is readability, reconstruction fidelity, compilation, semantic preservation, or analyst comprehension rather than vulnerability, malware, exploit, or defense evidence.","non-security program understanding for binaries and other compiled representations, including decompilation, symbol and type recovery, recompilable reconstruction, semantic-fidelity improvement, and representation evaluation. A paper belongs here when its primary oracle is readability, reconstruction fidelity, compilation, semantic preservation, or analyst comprehension rather than vulnerability, malware, exploit, or defense evidence.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,19,active,
llm-software,Academic-Status/Quality-Refactoring-Technical-Debt-And-Code-Smells.md,"behavior-preserving refactoring, structural code quality, technical-debt reduction, and detection or repair of code and comment smells in ordinary software. Behavior-changing bug repair remains on the testing-and-repair shelf.","behavior-preserving refactoring, structural code quality, technical-debt reduction, and detection or repair of code and comment smells in ordinary software. Behavior-changing bug repair remains on the testing-and-repair shelf.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,7,active,
llm-software,Academic-Status/Requirements-Design-Maintenance-And-Evolution.md,"intent and requirements, specification alignment, architecture recovery and conformance, design-issue localization, process models, API and dependency evolution, release work, and migration. Refactoring and structural-quality work belongs in [Quality, Refactoring, Technical Debt, and Code Smells](Quality-Refactoring-Technical-Debt-And-Code-Smells.md). Existing documentation, comment, intent-extraction, and summarization rows are preserved here; new work whose primary claim is code comprehension, retrieval, summaries, documentation, or API knowledge belongs in [Program Comprehension, Search, Retrieval, Documentation, and APIs](Program-Comprehension-Search-Retrieval-Documentation-And-APIs.md).","intent and requirements, specification alignment, architecture recovery and conformance, design-issue localization, process models, API and dependency evolution, release work, and migration. Refactoring and structural-quality work belongs in [Quality, Refactoring, Technical Debt, and Code Smells](Quality-Refactoring-Technical-Debt-And-Code-Smells.md). Existing documentation, comment, intent-extraction, and summarization rows are preserved here; new work whose primary claim is code comprehension, retrieval, summaries, documentation, or API knowledge belongs in [Program Comprehension, Search, Retrieval, Documentation, and APIs](Program-Comprehension-Search-Retrieval-Documentation-And-APIs.md).",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,16,active,
llm-software,Academic-Status/Software-Agents-And-Repository-Engineering.md,"repository navigation, issue resolution, planning, agent-computer interfaces, tool use, builds, long-horizon state, multi-agent coordination, and repository-level evaluation.","repository navigation, issue resolution, planning, agent-computer interfaces, tool use, builds, long-horizon state, multi-agent coordination, and repository-level evaluation.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,142,active,
llm-software,Academic-Status/Surveys-And-Systematization.md,"systematic reviews, surveys, taxonomies, and methodological syntheses about LLMs for software engineering and code. Surveys orient the map; primary papers on the topic pages support technical claims.","systematic reviews, surveys, taxonomies, and methodological syntheses about LLMs for software engineering and code. Surveys orient the map; primary papers on the topic pages support technical claims.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,0,coverage-gap,
llm-software,Academic-Status/Systems-OS-Cloud-And-Infrastructure-Software.md,"LLM-assisted reliability, diagnosis, logs, configuration, cloud/IaC, systems-software analysis, and operational tooling. The LLM must help understand, verify, repair, or operate software; generic infrastructure for training or serving models is out of scope.","LLM-assisted reliability, diagnosis, logs, configuration, cloud/IaC, systems-software analysis, and operational tooling. The LLM must help understand, verify, repair, or operate software; generic infrastructure for training or serving models is out of scope.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,20,active,
llm-software,Academic-Status/Testing-Debugging-And-General-Repair.md,"test and oracle generation, compiler/library fuzzing, bug replay, fault localization, dynamic debugging, test repair, and general automated program repair. Security-oriented fuzzing and vulnerability patching are intentionally excluded.","test and oracle generation, compiler/library fuzzing, bug replay, fault localization, dynamic debugging, test repair, and general automated program repair. Security-oriented fuzzing and vulnerability patching are intentionally excluded.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,102,active,
software-for-llm,Academic-Status/Architecture-Evolution-And-Operations.md,"component structure, agent roles and collaboration topology, prompt and model lifecycle, reference architectures, deployment, maintenance, and operational practice for LLM-integrated software and agents.","component structure, agent roles and collaboration topology, prompt and model lifecycle, reference architectures, deployment, maintenance, and operational practice for LLM-integrated software and agents.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,29,active,
software-for-llm,Academic-Status/Benchmarks-And-Surveys.md,"executable environments, evaluation frameworks, reliability metrics, and syntheses that help assess LLM/agent software rather than only a base model.","executable environments, evaluation frameworks, reliability metrics, and syntheses that help assess LLM/agent software rather than only a base model.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,12,active,
software-for-llm,Academic-Status/Compilers-Runtimes-And-Workflow-Orchestration.md,"systems that compile or execute structured LLM/agent programs and exploit application-level control flow, dataflow, semantic variables, model choices, tools, and service-level objectives.","systems that compile or execute structured LLM/agent programs and exploit application-level control flow, dataflow, semantic variables, model choices, tools, and service-level objectives.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,61,active,
software-for-llm,Academic-Status/Languages-DSLs-And-Programming-Models.md,"language-level abstractions for prompts, model calls, tool-using agents, and LLM application pipelines. The primary contribution must be how developers express the application, not how an LLM generates ordinary code.","language-level abstractions for prompts, model calls, tool-using agents, and LLM application pipelines. The primary contribution must be how developers express the application, not how an LLM generates ordinary code.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,241,active,
software-for-llm,Academic-Status/Testing-Debugging-And-Observability.md,"analysis and testing of LLM applications and agent systems, including framework testing, trajectory observability, failure attribution, counterfactual replay, and intervention-driven debugging.","analysis and testing of LLM applications and agent systems, including framework testing, trajectory observability, failure attribution, counterfactual replay, and intervention-driven debugging.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,28,active,
software-for-llm,Academic-Status/Types-Contracts-And-Structured-Interaction.md,"formal output languages, schemas, semantic interfaces, data protocols, and other contracts that make model and agent interactions machine-checkable and interoperable.","formal output languages, schemas, semantic interfaces, data protocols, and other contracts that make model and agent interactions machine-checkable and interoperable.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,73,active,
llm-security,Academic-Status/Cross-Cutting/Security-Benchmarks-And-Evaluation.md,"security-specific benchmarks and datasets for vulnerability reasoning, secure code generation, cyber agents, security-targeted reverse engineering, detection engineering, and agent/tool security. Generic coding, decompilation, and software-engineering benchmarks belong in the sibling software-research dossier.","security-specific benchmarks and datasets for vulnerability reasoning, secure code generation, cyber agents, security-targeted reverse engineering, detection engineering, and agent/tool security. Generic coding, decompilation, and software-engineering benchmarks belong in the sibling software-research dossier.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,28,active,
llm-security,Academic-Status/Cross-Cutting/Surveys-And-Systematization.md,"surveys, SoKs, research agendas, and methodological critiques that organize the LLM/software-security space.","surveys, SoKs, research agendas, and methodological critiques that organize the LLM/software-security space.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,7,active,
llm-security,Academic-Status/Cyber-Operations/Defensive-SOC-And-CTI.md,"analyst-facing SOC systems, threat-intelligence extraction, alert and incident reasoning, detection-rule authoring, autonomous cyber defense, and attacks against LLM-driven operational tooling.","analyst-facing SOC systems, threat-intelligence extraction, alert and incident reasoning, detection-rule authoring, autonomous cyber defense, and attacks against LLM-driven operational tooling.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,54,active,
llm-security,Academic-Status/Cyber-Operations/Offensive-CTF-And-Pentesting.md,"controlled pentesting, red-team and CTF agents, environment-grounded offensive reasoning, and the safety/evaluation constraints needed to study these systems. This page records research findings, not operational exploit instructions.","controlled pentesting, red-team and CTF agents, environment-grounded offensive reasoning, and the safety/evaluation constraints needed to study these systems. This page records research findings, not operational exploit instructions.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,71,active,
llm-security,Academic-Status/Security-Analysis/Program-Analysis.md,"static, taint, graph, symbolic/concolic, fuzzing/dynamic, and binary-analysis methods whose primary evaluated outcome is a vulnerability, exploitability judgment, security-relevant failure, malware finding, or verified defense. Fuzzing is a child topic here because it is an execution-backed program-analysis technique, not a peer taxonomy branch. Generic correctness testing, decompilation, and reverse engineering belong in the sibling software-research dossier.","static, taint, graph, symbolic/concolic, fuzzing/dynamic, and binary-analysis methods whose primary evaluated outcome is a vulnerability, exploitability judgment, security-relevant failure, malware finding, or verified defense. Fuzzing is a child topic here because it is an execution-backed program-analysis technique, not a peer taxonomy branch. Generic correctness testing, decompilation, and reverse engineering belong in the sibling software-research dossier.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,391,active,
llm-security,Academic-Status/Security-Of-LLM-Software/App-RAG-Agent-And-Tool-Runtimes.md,"prompt and retrieval attacks, LLM-integrated application vulnerabilities, agent permissions and memory, MCP/tool ecosystems, action provenance, runtime resource abuse, and defenses for tool-using agents.","prompt and retrieval attacks, LLM-integrated application vulnerabilities, agent permissions and memory, MCP/tool ecosystems, action provenance, runtime resource abuse, and defenses for tool-using agents.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,85,active,
llm-security,Academic-Status/Security-Of-LLM-Software/Coding-Dependency-And-Supply-Chain.md,"security of AI-assisted code generation and review, poisoned or misleading coding context, generated dependencies, package hallucination, privacy-preserving code generation, and software-supply-chain consequences.","security of AI-assisted code generation and review, poisoned or misleading coding context, generated dependencies, package hallucination, privacy-preserving code generation, and software-supply-chain consequences.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,11,active,
llm-security,Academic-Status/Systems-And-OS-Security/Systems-And-OS-Security.md,"LLM-assisted kernel, driver, firmware, embedded-device, OS-configuration, patching, isolation, TEE, and runtime-security work. Generic systems-for-LLM performance work is out of scope unless it establishes a security boundary or checks a security property.","LLM-assisted kernel, driver, firmware, embedded-device, OS-configuration, patching, isolation, TEE, and runtime-security work. Generic systems-for-LLM performance work is out of scope unless it establishes a security boundary or checks a security property.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,20,active,
llm-security,Academic-Status/Vulnerability-Lifecycle/Detection-Triage-And-Reasoning.md,"detector reliability, vulnerability localization and prioritization, reachability/exploitability evidence, vulnerability reproduction, and end-to-end cyber-reasoning systems. Papers whose main contribution is a static-analysis or fuzzing method live in [Program Analysis](../Security-Analysis/Program-Analysis.md).","detector reliability, vulnerability localization and prioritization, reachability/exploitability evidence, vulnerability reproduction, and end-to-end cyber-reasoning systems. Papers whose main contribution is a static-analysis or fuzzing method live in [Program Analysis](../Security-Analysis/Program-Analysis.md).",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,301,active,
llm-security,Academic-Status/Vulnerability-Lifecycle/Security-Repair-And-Patch-Validation.md,"vulnerability repair, security-patch identification and porting, root-cause repair, backporting, and independent patch validation. Generic automated program repair lives in the sibling software-research dossier.","vulnerability repair, security-patch identification and porting, root-cause repair, backporting, and independent patch validation. Generic automated program repair lives in the sibling software-research dossier.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,53,active,
